hour,count
0,244698
1,132209
2,113729
3,94223
4,73540
5,63378
6,73798
7,101745
8,147823
9,192786
10,188019
11,193799
12,249010
13,200901
14,213079
15,231769
16,222297
17,224083
18,233580
19,235939
20,227430
21,213613
22,209355
23,176327
