primary_type,hour,weekday,count
ASSAULT,23,Tuesday,1522
ASSAULT,23,Wednesday,1500
BATTERY,0,Friday,5098
BATTERY,0,Monday,5656
BATTERY,0,Saturday,7193
BATTERY,0,Sunday,8099
BATTERY,0,Thursday,4746
BATTERY,0,Tuesday,4696
BATTERY,0,Wednesday,4651
BATTERY,1,Friday,4560
BATTERY,1,Monday,4444
BATTERY,1,Saturday,7359
BATTERY,1,Sunday,8558
BATTERY,1,Thursday,3791
BATTERY,1,Tuesday,3529
BATTERY,1,Wednesday,3659
BATTERY,2,Friday,3738
BATTERY,2,Monday,3647
BATTERY,2,Saturday,7056
BATTERY,2,Sunday,8656
BATTERY,2,Thursday,3196
BATTERY,2,Tuesday,2911
BATTERY,2,Wednesday,3026
BATTERY,3,Friday,2810
BATTERY,3,Monday,2776
BATTERY,3,Saturday,6003
BATTERY,3,Sunday,7692
BATTERY,3,Thursday,2493
BATTERY,3,Tuesday,2128
BATTERY,3,Wednesday,2225
BATTERY,4,Friday,2002
BATTERY,4,Monday,1935
BATTERY,4,Saturday,4240
BATTERY,4,Sunday,5570
BATTERY,4,Thursday,1759
BATTERY,4,Tuesday,1575
BATTERY,4,Wednesday,1613
BATTERY,5,Friday,1465
BATTERY,5,Monday,1455
BATTERY,5,Saturday,2837
BATTERY,5,Sunday,3852
BATTERY,5,Thursday,1391
BATTERY,5,Tuesday,1285
BATTERY,5,Wednesday,1407
BATTERY,6,Friday,1657
BATTERY,6,Monday,1579
BATTERY,6,Saturday,2352
BATTERY,6,Sunday,2676
BATTERY,6,Thursday,1552
BATTERY,6,Tuesday,1505
BATTERY,6,Wednesday,1492
BATTERY,7,Friday,2264
BATTERY,7,Monday,2370
BATTERY,7,Saturday,2222
BATTERY,7,Sunday,2437
BATTERY,7,Thursday,2415
BATTERY,7,Tuesday,2362
BATTERY,7,Wednesday,2329
BATTERY,8,Friday,3330
BATTERY,8,Monday,3423
BATTERY,8,Saturday,2787
BATTERY,8,Sunday,2586
BATTERY,8,Thursday,3549
BATTERY,8,Tuesday,3442
BATTERY,8,Wednesday,3570
BATTERY,9,Friday,3753
BATTERY,9,Monday,3813
BATTERY,9,Saturday,3418
BATTERY,9,Sunday,3521
BATTERY,9,Thursday,3823
BATTERY,9,Tuesday,3839
BATTERY,9,Wednesday,3873
BATTERY,10,Friday,4020
BATTERY,10,Monday,4112
BATTERY,10,Saturday,4044
BATTERY,10,Sunday,4099
BATTERY,10,Thursday,4086
BATTERY,10,Tuesday,4147
BATTERY,10,Wednesday,4127
BATTERY,11,Friday,4505
BATTERY,11,Monday,4707
BATTERY,11,Saturday,4616
BATTERY,11,Sunday,4536
BATTERY,11,Thursday,4604
BATTERY,11,Tuesday,4689
BATTERY,11,Wednesday,4598
BATTERY,12,Friday,4802
BATTERY,12,Monday,4835
BATTERY,12,Saturday,4801
BATTERY,12,Sunday,4718
BATTERY,12,Thursday,4873
BATTERY,12,Tuesday,4855
BATTERY,12,Wednesday,4939
BATTERY,13,Friday,4581
BATTERY,13,Monday,4560
BATTERY,13,Saturday,4483
BATTERY,13,Sunday,4594
BATTERY,13,Thursday,4636
BATTERY,13,Tuesday,4632
BATTERY,13,Wednesday,4834
BATTERY,14,Friday,5019
BATTERY,14,Monday,4900
BATTERY,14,Saturday,4741
BATTERY,14,Sunday,4817
BATTERY,14,Thursday,4875
BATTERY,14,Tuesday,5034
BATTERY,14,Wednesday,5219
BATTERY,15,Friday,6201
BATTERY,15,Monday,6189
BATTERY,15,Saturday,5048
BATTERY,15,Sunday,5237
BATTERY,15,Thursday,6135
BATTERY,15,Tuesday,6102
BATTERY,15,Wednesday,6293
BATTERY,16,Friday,5649
BATTERY,16,Monday,5815
BATTERY,16,Saturday,5185
BATTERY,16,Sunday,5536
BATTERY,16,Thursday,5693
BATTERY,16,Tuesday,5728
BATTERY,16,Wednesday,5708
BATTERY,17,Friday,5370
BATTERY,17,Monday,5597
BATTERY,17,Saturday,5384
BATTERY,17,Sunday,5786
BATTERY,17,Thursday,5344
BATTERY,17,Tuesday,5500
BATTERY,17,Wednesday,5278
BATTERY,18,Friday,5338
BATTERY,18,Monday,5678
BATTERY,18,Saturday,5578
BATTERY,18,Sunday,5835
BATTERY,18,Thursday,5364
BATTERY,18,Tuesday,5624
BATTERY,18,Wednesday,5623
BATTERY,19,Friday,5589
BATTERY,19,Monday,5471
BATTERY,19,Saturday,5706
BATTERY,19,Sunday,6210
BATTERY,19,Thursday,5358
